City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Tura,IN,75.07,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
6,Rikitea,PF,75.33,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Atuona,PF,78.76,scattered clouds,-9.8,-139.0333,Villa Enata
18,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,Sambava,MG,76.75,light rain,-14.2667,50.1667,Melrose
28,Inisa,NG,88.54,broken clouds,7.85,4.3333,Olori Palace
31,Tuy Hoa,VN,76.24,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
38,Namatanai,PG,78.64,light rain,-3.6667,152.4333,Seagulls Inn Namatani
43,Caborca,MX,80.92,clear sky,30.5838,-111.101,Hotel Los Lagos
44,Fuerte,PH,82.26,scattered clouds,17.5381,120.3644,Giordion Inn
49,Hithadhoo,MV,85.15,scattered clouds,-0.6,73.0833,Scoop Guest House
50,Castro,BR,77.04,clear sky,-24.7911,-50.0119,CHACARA BAILLY
53,Oistins,BB,75.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
54,Jamestown,US,78.06,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
56,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
58,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
62,Caraballeda,VE,89.37,overcast clouds,10.6112,-66.8522,Hotel 15 Letras
68,Frederico Westphalen,BR,83.44,few clouds,-27.3592,-53.3944,Hotel Palace Frederico
69,Russell,US,82.9,few clouds,32.3502,-85.1999,Macs
71,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
74,Faanui,PF,80.56,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
76,Butaritari,KI,79.84,light rain,3.0707,172.7902,Isles Sunset Lodge
78,Bubaque,GW,78.49,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
86,Biak,ID,76.68,overcast clouds,-0.9131,122.8766,Penginapan Kim
88,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
94,Marsh Harbour,BS,75.07,few clouds,26.5412,-77.0636,Abaco Beach Resort
100,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
101,Paracuru,BR,84.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
102,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
103,Presidencia Roque Saenz Pena,AR,87.67,scattered clouds,-26.7852,-60.4388,Hotel Gualok
105,Arraial Do Cabo,BR,80.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
112,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
114,Kieta,PG,78.8,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
117,Grand Baie,MU,76.44,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
123,Codajas,BR,85.93,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
126,Bengkulu,ID,77.02,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
127,Karratha,AU,77.94,moderate rain,-20.7377,116.8463,ibis Styles Karratha
128,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
129,Promissao,BR,89.62,clear sky,-21.5367,-49.8581,Recanto Monte Cristo
132,Padang,ID,77.97,light rain,-0.9492,100.3543,Mercure Padang
135,Sao Filipe,CV,77.52,clear sky,14.8961,-24.4956,Hotel Xaguate
145,Tiarei,PF,77.02,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
148,San Patricio,US,86.18,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
149,Port Keats,AU,82.56,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
153,Isangel,VU,76.44,overcast clouds,-19.55,169.2667,Tanna Lodge
157,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
173,Victoria,HK,82.45,few clouds,22.2855,114.1577,Mini Hotel Central
174,Monrovia,LR,89.37,overcast clouds,6.3005,-10.7969,Sunset Inn
178,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
179,San Luis,AR,80.38,clear sky,-33.295,-66.3356,Huarpes Hotel
185,San Felipe,VE,81.25,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
187,Touros,BR,86.02,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
190,Cartagena,CO,89.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
197,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
203,Divinopolis,BR,83.48,scattered clouds,-20.1389,-44.8839,Hotel Fátima
205,Meulaboh,ID,78.03,moderate rain,4.1363,96.1285,Kost Pria
207,Luanda,AO,78.12,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
208,Boyolangu,ID,76.33,broken clouds,-8.1181,111.8935,Yos ega cv
210,Oeiras Do Para,BR,83.77,broken clouds,-2.0031,-49.8544,Araticu Soft Hotel
216,Cidreira,BR,75.79,moderate rain,-30.1811,-50.2056,Hotel Castelo
218,Elizabeth City,US,85.05,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
220,Sechura,PE,77.13,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
226,La Romana,DO,84.56,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
235,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
236,Jacqueville,CI,80.44,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
