City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lukulu,ZM,-14.3707,23.242,70.25,65,65,4.38,broken clouds
1,Butembo,CD,0.15,29.2833,59.0,99,90,1.43,light rain
2,Mataura,NZ,-46.1927,168.8643,50.49,84,13,6.11,few clouds
3,Albany,US,42.6001,-73.9662,66.24,34,100,5.99,overcast clouds
4,Avarua,CK,-21.2078,-159.775,71.65,100,85,3.44,overcast clouds
5,Tura,IN,25.5198,90.2201,75.07,53,0,5.7,clear sky
6,Rikitea,PF,-23.1203,-134.9692,75.33,78,100,12.03,overcast clouds
7,Yar-Sale,RU,66.8333,70.8333,15.55,95,54,7.76,broken clouds
8,Tiksi,RU,71.6872,128.8694,-6.23,100,98,3.13,overcast clouds
9,Hilo,US,19.7297,-155.09,72.28,93,75,4.61,broken clouds
10,Inta,RU,66.0317,60.1659,30.72,88,99,12.24,overcast clouds
11,Deer Lake,CA,49.1667,-57.4316,44.46,76,100,12.66,overcast clouds
12,Belaya Gora,RU,68.5333,146.4167,-3.86,100,71,3.89,broken clouds
13,Barstow,US,34.8986,-117.0228,70.16,10,50,10.87,scattered clouds
14,Tasiilaq,GL,65.6145,-37.6368,37.56,95,100,8.79,light rain
15,Atuona,PF,-9.8,-139.0333,78.76,73,29,15.77,scattered clouds
16,Qaanaaq,GL,77.484,-69.3632,10.94,66,91,5.06,overcast clouds
17,Hermanus,ZA,-34.4187,19.2345,60.8,71,0,6.13,clear sky
18,Cabo San Lucas,MX,22.8909,-109.9124,85.3,70,0,6.91,clear sky
19,Kapaa,US,22.0752,-159.319,73.47,84,20,14.97,few clouds
20,Laguna,US,38.421,-121.4238,71.08,46,0,5.75,clear sky
21,Sombreffe,BE,50.5286,4.5984,54.01,75,20,5.75,few clouds
22,Sambava,MG,-14.2667,50.1667,76.75,85,64,9.06,light rain
23,Hasaki,JP,35.7333,140.8333,59.4,89,98,6.06,overcast clouds
24,Esperance,AU,-33.8667,121.9,68.31,46,100,23.82,overcast clouds
25,Boke,GN,10.9409,-14.2967,101.23,24,46,8.75,scattered clouds
26,Isiro,CD,2.7739,27.616,69.06,93,100,4.65,light rain
27,Rodby,DK,54.695,11.3889,52.12,65,44,1.97,scattered clouds
28,Inisa,NG,7.85,4.3333,88.54,56,58,1.19,broken clouds
29,Ruteng,ID,-8.6136,120.4721,59.54,83,94,1.41,overcast clouds
30,Chongqing,CN,29.5628,106.5528,73.09,79,86,0.81,overcast clouds
31,Tuy Hoa,VN,13.0833,109.3,76.24,92,13,4.23,few clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,32.18,91,100,3.83,overcast clouds
33,Dingzhou,CN,38.5131,114.9956,64.4,63,1,4.92,clear sky
34,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,17.27,broken clouds
35,Yulara,AU,-25.2406,130.9889,60.1,74,22,7.61,few clouds
36,Constitucion,CL,-35.3333,-72.4167,56.25,79,100,7.27,overcast clouds
37,Gold Coast,AU,-28.0,153.4333,66.99,84,40,6.91,scattered clouds
